name,image_url,description,cuisine,course,calories & servings,diet,prep_time,cook_time,ingredients,instruction,image_id
Paneer Malai Tikka,https://www.shutterstock.com/image-photo/paneer-tikka-indian-dish-made-260nw-2180181457.jpg,"Paneer Malai Tikka is an indulgent vegetarian dish where cubes of paneer cheese are marinated in a creamy blend of yogurt, spices, and nuts. The marinated paneer is then grilled or pan-fried until crisp on the outside and melt-in-your-mouth tender on the inside. This rich and flavorful appetizer or Main Course is sure to tantalize your taste buds.",Indian,Appetizer/Snack,300 & 4,Veg,30 minutes,15 minutes,"250 grams paneer (Indian cottage cheese), cut into cubes , 1/2 cup thick yogurt , 2 tablespoons fresh cream (malai) , 1 tablespoon ginger-garlic paste , 1 teaspoon garam masala , 1 teaspoon coriander powder , 1/2 teaspoon cumin powder , 1/2 teaspoon turmeric powder , 1/2 teaspoon red chili powder (adjust to taste) , 1 tablespoon lemon juice , Salt to taste , 1 tablespoon oil , Chopped coriander leaves for garnish , Lemon wedges for serving , Onion rings and mint chutney for serving (optional)","In a mixing bowl, combine yogurt, fresh cream, ginger-garlic paste, garam masala, coriander powder, cumin powder, turmeric powder, red chili powder, lemon juice, and salt to taste. Mix well to form a smooth marinade. Add the paneer cubes to the marinade and gently toss until the paneer cubes are well coated. Cover the bowl and marinate in the refrigerator for at least 30 minutes to allow the flavors to meld. Preheat the grill or oven to medium-high heat. If using wooden skewers, soak them in water for 30 minutes to prevent burning. Thread the marinated paneer cubes onto skewers, leaving a little space between each cube. Brush the paneer cubes with oil to prevent them from drying out while grilling. Grill the paneer skewers for about 10-12 minutes, turning occasionally, until they are golden brown and slightly charred on the edges. Once cooked, remove the paneer tikka from the grill and transfer them to a serving plate. Garnish with chopped coriander leaves and serve hot with lemon wedges, onion rings, and mint chutney on the side.",518
Lucknowi Biryani,https://www.shutterstock.com/image-photo/lucknowi-vegetable-biryani-curd-salad-600nw-1791618104.jpg,"Lucknowi Veg Biryani is a flavorful symphony of aromatic rice layered with a medley of Lucknowi vegetables. Fragrant spices like cloves, cardamom, and bay leaves perfume the basmati rice, while succulent peas, potatoes, and cauliflower florets add pops of color and texture. This delightful vegetarian twist on the classic biryani is a feast for the senses, perfect for a celebratory meal.",Indian,Main Course,400 & 4,Veg,20 minutes,45 minutes,"1 cup Basmati rice, soaked for 30 minutes and drained , 1 cup mixed vegetables (carrots, peas, potatoes, beans) , 1 onion, thinly sliced , 1 tomato, chopped , 1/2 cup plain yogurt , 2 tablespoons ghee (clarified butter) , 1 teaspoon cumin seeds , 2-3 green cardamom pods , 1-inch cinnamon stick , 3-4 cloves , 1 bay leaf , 1/2 teaspoon turmeric powder , 1 teaspoon red chili powder , 1 teaspoon biryani masala , Salt to taste , Fresh coriander leaves, chopped for garnish , Fried onions for garnish (optional) , Saffron strands soaked in warm milk for garnish (optional)","Heat ghee in a large pot or pressure cooker. Add cumin seeds, cardamom pods, cinnamon stick, cloves, and bay leaf. Saute until fragrant. Add sliced onions and sauté until golden brown. Add chopped tomatoes and cook until they turn mushy. Stir in mixed vegetables and cook for 2-3 minutes. Add turmeric powder, red chili powder, biryani masala, and salt. Mix well. Add soaked and drained Basmati rice to the pot. Gently mix with the vegetable mixture. Pour yogurt over the rice and vegetables. Mix gently to combine. Add enough water to cover the rice by about an inch. Bring to a boil. Once boiling, reduce heat to low, cover, and cook for about 15-20 minutes until the rice is tender and cooked through. Once cooked, fluff the rice gently with a fork. Garnish with chopped coriander leaves, fried onions, and saffron milk. Serve hot with raita (yogurt dip) or any side dish of your choice.",519
Arbi Ke Patte Ke Pakode,https://www.shutterstock.com/image-photo/mix-vegetable-pakoras-extremely-delicious-260nw-194800394.jpg,"Tender colocasia leaves are dipped in a spiced gram flour batter, creating a crispy and flavorful exterior. The contrasting textures of the soft leaves and the crunchy batter make for a delightful bite. Enjoy these fritters on their own as a tea-time snack or pair them with chutney for an added layer of flavor.",Indian,Appetizer/Snack,150 & 4,Veg,15 minutes,20 minutes,"Colocasia leaves (Arbi ke patte) - 10-12 , Besan (Gram flour) - 1 cup , Rice flour - 2 tablespoons , Ajwain (Carom seeds) - 1 teaspoon , Hing (Asafoetida) - 1/4 teaspoon , Red chili powder - 1 teaspoon , Turmeric powder - 1/2 teaspoon , Salt - to taste , Water - as needed , Oil - for frying","Wash and pat dry the colocasia leaves. Remove the stems and veins. In a bowl, mix besan, rice flour, ajwain, hing, red chili powder, turmeric powder, and salt. Gradually add water to make a smooth batter of pouring consistency. Heat oil in a deep frying pan. Dip each colocasia leaf into the batter, ensuring it's coated evenly. Carefully place the coated leaf into the hot oil and fry until golden brown and crisp. Remove from oil and place on paper towels to drain excess oil. Serve hot with chutney or sauce of your choice.",520
Aloo Chaat,https://www.shutterstock.com/image-photo/aloo-chaat-alu-chat-popular-600nw-1607847742.jpg,"Aloo Chaat is a flavor explosion on a plate! Tangy yogurt and chutneys mingle with crispy potato bites, creating a symphony of sweet, sour, and spicy sensations. Topped with chopped onions, cilantro, and a squeeze of lemon, this vibrant street food is a delightful explosion of textures and tastes in every bite.",Indian,Appetizer/Snack,200 & 4,Veg,15 minutes,20 minutes,"4 medium potatoes, peeled and cubed , 2 tablespoons oil , 1 teaspoon chaat masala , 1 teaspoon red chili powder , 1 teaspoon cumin powder , Salt to taste , 2 tablespoons chopped fresh coriander leaves , 2 tablespoons tamarind chutney , 2 tablespoons mint chutney , 1 small onion, finely chopped , 1 small tomato, finely chopped , Sev (crispy chickpea noodles) for garnish , Fresh coriander leaves for garnish , Lemon wedges for serving","Heat oil in a pan over medium heat. Add the cubed potatoes and fry until golden brown and crispy. Remove the fried potatoes from the pan and place them on a paper towel to drain excess oil. In a large mixing bowl, toss the fried potatoes with chaat masala, red chili powder, cumin powder, and salt until evenly coated. Transfer the seasoned potatoes to a serving plate. Drizzle tamarind chutney and mint chutney over the potatoes. Sprinkle chopped onions and tomatoes on top. Garnish with sev and fresh coriander leaves. Serve hot with lemon wedges on the side.",521
Katori Chaat,https://www.shutterstock.com/image-photo/aloo-tokri-chaat-potato-basket-260nw-2395733153.jpg,"Katori Chaat is a delightful explosion of textures and flavors in a crispy edible ""cup."" Imagine tiny fried flour baskets (katoris) overflowing with a savory chickpea (chana) base, tangy yogurt, sweet and spicy chutneys, and a sprinkle of fresh pomegranate seeds for a burst of jewel-like color. This street food favorite is a symphony of sweet, savory, tangy, and spicy, perfect for satisfying a chaat craving.",Indian,Appetizer/Snack,250 & 4,Veg,20 minutes,20 minutes,"1 cup chickpeas (cooked) , 2 large potatoes (boiled and chopped) , 1 onion (finely chopped) , 1 tomato (finely chopped) , 1 green chili (finely chopped) , 1/4 cup tamarind chutney , 1/4 cup mint-coriander chutney , 1/2 cup yogurt (whisked) , 1 teaspoon chaat masala , 1 teaspoon red chili powder , 1 teaspoon cumin powder , Salt to taste , Oil for frying , Fresh coriander leaves (for garnish) , Sev (fried gram flour vermicelli, for garnish)","Heat oil in a deep frying pan over medium heat. In a bowl, mix together boiled potatoes, cooked chickpeas, chopped onions, tomatoes, green chili, chaat masala, red chili powder, cumin powder, and salt. Take small portions of this mixture and shape them into small cups or baskets. Carefully drop these baskets into the hot oil and fry until they turn golden brown and crispy. Remove and drain excess oil on paper towels. Once the baskets are cooled slightly, fill each one with a spoonful of whisked yogurt, tamarind chutney, and mint-coriander chutney. Garnish with chopped coriander leaves and sev. Serve immediately and enjoy the delicious Katori Chaat!",522
Cheese Pakora,https://www.shutterstock.com/image-photo/kurkuri-paneer-fingers-pakorapakoda-snacks-600nw-1456372502.jpg,"Cheese Pakora is a delightful vegetarian fritter that's perfect for snacking or appetizers. Cubes of your favorite cheese are enveloped in a chickpea flour (gram flour) batter seasoned with aromatic spices. Deep-fried until golden brown and crispy on the outside, the result is a delightful contrast between the gooey cheese center and the crunchy exterior.",Indian,Condiment,200 & 4,Veg,10 minutes,15 minutes,"200g Paneer (Indian cottage cheese), grated , 1 cup Chickpea flour (besan) , 1/4 cup Rice flour , 1/2 teaspoon Turmeric powder , 1 teaspoon Red chili powder , 1 teaspoon Garam masala , 1 teaspoon Chaat masala , Salt, to taste , Water, as needed , Oil, for deep frying","In a mixing bowl, combine grated paneer, chickpea flour, rice flour, turmeric powder, red chili powder, garam masala, chaat masala, and salt. Gradually add water while mixing to form a thick batter. Heat oil in a deep frying pan over medium heat. Drop spoonfuls of the batter into the hot oil and fry until golden brown and crispy. Remove the pakoras from the oil and drain excess oil on paper towels. Serve hot with chutney or sauce of your choice.",523
Tomato Chutney,https://www.shutterstock.com/shutterstock/photos/1093475537/display_1500/stock-photo-homemade-roasted-garlic-marinara-tomato-sauce-in-glass-jar-on-concrete-background-selective-focus-1093475537.jpg,"Tangy tomatoes are transformed into a sweet and spicy chutney in this vibrant condiment. Spices like cumin and coriander dance with a hint of chili, creating a flavorful explosion. This chutney adds a delightful kick to your favorite dishes, whether served alongside samosas or spooned over rice for a burst of zesty goodness.",Indian,Main Course,60 & 4,Veg,10 minutes,20 minutes,"500g ripe tomatoes, chopped , 1 medium onion, finely chopped , 2-3 cloves garlic, minced , 1-inch piece of ginger, grated , 2-3 green chilies, chopped , 1 teaspoon mustard seeds , 1 teaspoon cumin seeds , 1/2 teaspoon turmeric powder , 1/2 teaspoon red chili powder , 1/2 teaspoon garam masala , 2 tablespoons oil , Salt to taste , Fresh coriander leaves for garnish","Heat oil in a pan and add mustard seeds and cumin seeds. Let them splutter. Add chopped onions, minced garlic, grated ginger, and green chilies. Saute until onions turn translucent. Add chopped tomatoes, turmeric powder, red chili powder, and salt. Cook until tomatoes are soft and mushy. Mash the tomatoes with the back of a spoon to get a chunky consistency. Add garam masala and cook for another 2-3 minutes until the chutney thickens. Adjust seasoning according to taste. Garnish with fresh coriander leaves. Serve tomato chutney with dosa, idli, rice, or any Indian meal.",524
Traditional Sambar,https://www.shutterstock.com/shutterstock/photos/1771176419/display_1500/stock-photo-sambhar-a-traditional-south-indian-curry-made-from-yellow-dal-and-vegetables-like-drumstick-carrot-1771176419.jpg,"South India's comforting Sambar is a hearty lentil stew bursting with flavor. Aromatic sambar powder, simmered with plump lentils and colorful vegetables, creates a tangy base. The magic touch comes from the addition of tamarind, adding a delightful sour note that perfectly complements the warmth of the spices. Enjoyed with rice or dosa, Sambar is a vegetarian staple that warms the soul with every satisfying spoonful.",Indian,Main Course,250 & 4,Veg,15 minutes,30 minutes,"1 cup toor dal (pigeon peas) , 2 cups mixed vegetables (such as carrots, potatoes, drumsticks, and eggplant), chopped , 1 small onion, finely chopped , 2 tomatoes, chopped , 2 tablespoons sambar powder , 1 tablespoon tamarind paste , 1 teaspoon mustard seeds , 1 teaspoon cumin seeds , 2-3 dried red chilies , A pinch of asafoetida (hing) , 1 sprig curry leaves , 2 tablespoons oil , Salt to taste , Fresh coriander leaves for garnish","Wash the toor dal thoroughly and pressure cook with enough water until soft and mushy. In a separate pan, heat oil and add mustard seeds. Once they splutter, add cumin seeds, dried red chilies, and asafoetida. Add chopped onions and sauté until golden brown. Then, add chopped tomatoes and cook until they turn mushy. Add the mixed vegetables and cook for 5-7 minutes until they are partially cooked. Now, add sambar powder, tamarind paste, and salt. Mix well. Pour in the cooked toor dal along with its water. Stir everything together and bring it to a boil. Let the sambar simmer for 10-15 minutes until the vegetables are fully cooked and the flavors are well blended. Adjust the consistency by adding more water if needed. Garnish with fresh coriander leaves and serve hot with steamed rice or idli/dosa.",525
Masala Dosa,https://www.shutterstock.com/image-photo/masala-dosa-south-indian-meal-600nw-1008673576.jpg,"Masala dosa is a South Indian breakfast masterpiece. Imagine a crispy, thin crepe made from fermented rice and lentil batter. This crepe is then transformed into a flavor bomb by encasing a spiced potato filling, traditionally cooked with onions, curry leaves, and mustard seeds. The combination of textures, from the dosa's crispiness to the soft, savory potato filling, is a true delight. Often served with chutneys and sambar for dipping, masala dosa is a satisfying and flavorful way to start your day.",Indian,Main Course,250 & 4,Veg,8 hours,15 minutes,"For Dosa Batter: 1 cup rice , 1/2 cup urad dal (split black gram) , Water, as needed , Salt, to taste , For Potato Filling (Masala): 4 medium-sized potatoes, boiled and mashed , 1 onion, finely chopped , 2 green chilies, finely chopped , 1/2 teaspoon mustard seeds , 1/2 teaspoon cumin seeds , A pinch of asafoetida (hing) , 1/2 teaspoon turmeric powder , 1/2 teaspoon red chili powder (optional) , Salt, to taste , Fresh coriander leaves, chopped , 2 tablespoons oil","Prepare Dosa Batter: Rinse rice and urad dal separately and soak them in water for 4-6 hours. Grind the soaked rice and dal separately to a fine paste, adding water as needed. Mix both pastes together in a large bowl, add salt, and let it ferment overnight or for at least 8 hours. Make Potato Filling (Masala): Heat oil in a pan, add mustard seeds, and let them splutter. Add cumin seeds and asafoetida, followed by chopped onions and green chilies. Saute until onions turn translucent. Add turmeric powder, red chili powder (if using), and mashed potatoes. Mix well. Season with salt and cook for a few minutes until flavors meld together. Garnish with chopped coriander leaves and set aside. Cook Masala Dosa: Heat a non-stick or cast-iron skillet over medium heat. Pour a ladleful of dosa batter onto the center of the skillet and spread it in a circular motion to form a thin crepe. Drizzle some oil or ghee around the edges of the dosa and cook until the bottom turns golden brown and crispy. Spread a spoonful of potato filling (masala) on one half of the dosa. Fold the dosa in half, covering the filling, and gently press down with a spatula. Cook for another minute until the dosa is crisp and golden brown on both sides. Serve hot with coconut chutney and sambar.",526
Rava Upma,https://www.shutterstock.com/image-photo/rava-upma-uppuma-south-indian-260nw-1293359881.jpg,"Rava Upma is a comforting South Indian breakfast dish made with semolina flour (rava). Imagine toasted semolina cooked in a flavorful broth infused with mustard seeds, curry leaves, and fresh chopped vegetables. The result is a light, fluffy, and savory porridge bursting with warm spices and textures. It's a quick and delicious way to start your day.",Indian,Main Course,200 & 4,Veg,10 minutes,20 minutes,"1 cup rava (semolina) , 2 cups water , 2 tablespoons oil or ghee , 1 teaspoon mustard seeds , 1 teaspoon urad dal (split black gram) , 1 teaspoon chana dal (split chickpeas) , 1 onion, finely chopped , 1 green chili, finely chopped , 1-inch piece of ginger, finely chopped , 2-3 tablespoons chopped vegetables (carrots, peas, bell peppers, etc.) , A few curry leaves , A pinch of asafoetida (hing) , Salt to taste , Fresh coriander leaves for garnish","Dry roast the rava in a pan over low heat until it turns light golden brown. Set aside. Heat oil or ghee in a pan and add mustard seeds. Let them splutter. Add urad dal and chana dal. Fry until they turn golden brown. Add chopped onions, green chilies, and ginger. Saute until onions turn translucent. Add chopped vegetables and curry leaves. Cook for a few minutes until the vegetables are slightly tender. Pour water into the pan and add salt and asafoetida. Bring it to a boil. Reduce the heat to low and slowly add the roasted rava while stirring continuously to avoid lumps. Cook for 5-7 minutes until the upma thickens and the rava is cooked completely. Garnish with fresh coriander leaves and serve hot.",527
Rava Idli,https://www.shutterstock.com/image-photo/rava-idli-semolina-steamed-cake-260nw-1708544095.jpg,"Rava Idli is a fluffy and savory South Indian breakfast made with semolina (rava). Unlike traditional idli made with rice batter, this instant version is quicker to prepare. The semolina is combined with yogurt for a slight tang, along with spices like curry leaves and mustard seeds for a burst of flavor. These steamed cakes are typically enjoyed with a dollop of chutney and sambar for a delightful and satisfying meal.",Indian,Soup,200 & 4,Veg,15 minutes,15 minutes,"1 cup semolina (rava) , 1 cup yogurt (curd) , 1/2 cup water , 1/4 cup grated carrots , 1/4 cup finely chopped cilantro , 1/4 cup finely chopped green chilies , 1 teaspoon mustard seeds , 1 teaspoon cumin seeds , 1 teaspoon baking soda , Salt to taste , Oil for greasing idli molds","Heat a pan and dry roast the semolina (rava) until it turns light golden brown. Transfer it to a bowl and let it cool. In the same pan, heat a little oil and add mustard seeds and cumin seeds. Let them splutter. Add grated carrots and chopped green chilies to the pan. Saute for 2-3 minutes. Add the sautéed mixture to the roasted semolina. Now, add yogurt, water, chopped cilantro, baking soda, and salt to the semolina mixture. Mix well to form a smooth batter. Let it rest for 10 minutes. Meanwhile, grease the idli molds with oil. After 10 minutes, pour the batter into the greased idli molds. Steam the idlis in a steamer for about 12-15 minutes or until a toothpick inserted into the center comes out clean. Once done, remove the idlis from the molds and serve hot with coconut chutney or sambar.",528
Tomato Rasam,https://www.shutterstock.com/image-photo/rasam-south-indians-main-item-260nw-2127262361.jpg,"Tangy and comforting, Tomato Rasam is a South Indian soup that bursts with flavor. Juicy tomatoes are simmered with a touch of tamarind for a delightful sourness, balanced by the warmth of aromatic spices. Fresh coriander adds a bright, herbaceous note, making this light and flavorful soup the perfect accompaniment to a comforting meal of rice and sambar.",Indian,Main Course,100 & 4,Veg,10 minutes,20 minutes,"3 ripe tomatoes, chopped , 1 tablespoon tamarind paste , 1 teaspoon mustard seeds , 1 teaspoon cumin seeds , 2 dried red chilies , 1/2 teaspoon turmeric powder , 1/2 teaspoon asafoetida (hing) , 1 sprig curry leaves , 2 cloves garlic, minced , 1-inch piece ginger, grated , 2 green chilies, slit lengthwise , 1 tablespoon coriander leaves, chopped , Salt to taste , 1 tablespoon ghee or oil , 4 cups water","Heat ghee or oil in a pan over medium heat. Add mustard seeds and let them splutter. Add cumin seeds, dried red chilies, curry leaves, minced garlic, grated ginger, and slit green chilies. Saute for a minute. Add chopped tomatoes and cook until they turn mushy. Add turmeric powder, asafoetida, and tamarind paste. Mix well. Pour in 4 cups of water and season with salt. Let it simmer for 10-12 minutes. Garnish with chopped coriander leaves and turn off the heat. Serve hot with steamed rice or enjoy as a soup.",529
Onion Dosa,https://www.shutterstock.com/image-photo/onion-dosa-south-indian-260nw-2448803967.jpg,"Onion Dosa is a South Indian staple, a crispy and savory crepe unlike any other. Imagine a fermented batter made with rice and lentils, transformed into a thin, lace-like crepe on a griddle. The star of the show is a caramelized onion filling, adding a burst of sweetness and depth of flavor. This delightful dosa is a perfect breakfast or light meal, enjoyed with sambar and coconut chutney for a complete and satisfying experience.",Indian,Appetizer/Snack,120 & 10,Veg,15 minutes,20 minutes,"1 cup rice , 1/2 cup urad dal (black gram dal) , 1 onion, finely chopped , 2-3 green chilies, finely chopped , Handful of fresh coriander leaves, chopped , Salt to taste , Oil for cooking","Wash and soak rice and urad dal separately in water for about 4-6 hours or overnight. After soaking, drain the water and grind rice and urad dal separately to a smooth paste using a little water. Mix both the batters together in a large bowl and add salt. Mix well and let it ferment for 8-10 hours or overnight. After fermentation, add finely chopped onions, green chilies, and coriander leaves to the batter. Mix well. Heat a non-stick dosa tawa (griddle) over medium heat. Pour a ladleful of batter onto the tawa and spread it in a circular motion to form a thin dosa. Drizzle a little oil around the edges of the dosa and cook until the bottom turns golden brown and crispy. Flip the dosa and cook the other side until it's cooked through. Serve hot with coconut chutney or sambar.",530
Medu Vada,https://www.shutterstock.com/image-photo/vada-medu-vadai-sambar-chutney-260nw-1944148645.jpg,"Medu Vada are crispy South Indian fritters that pack a flavorful punch. Fluffy urad dal batter, seasoned with fragrant herbs and spices, is transformed into golden spheres through a quick fry. These savory delights are typically enjoyed dipped in sambar or chutney, offering a delightful textural and taste contrast in every bite.",Indian,Appetizer/Snack,150 & 4,Veg,6 hours,20 minutes,"1 cup urad dal (black gram dal) , 2-3 green chilies, finely chopped , 1-inch piece of ginger, grated , 1 teaspoon cumin seeds , A pinch of asafoetida (hing) , Salt to taste , Oil for deep frying","Wash and soak the urad dal in water for at least 4-6 hours or overnight. Drain the soaked dal and transfer it to a blender or food processor. Grind the dal into a smooth and thick batter, adding minimal water if necessary. The batter should be fluffy and light. Transfer the batter to a mixing bowl. Add chopped green chilies, grated ginger, cumin seeds, asafoetida, and salt. Mix well to combine. Heat oil in a deep frying pan or kadhai over medium heat. Wet your hands with water to prevent the batter from sticking. Take a small portion of the batter and shape it into a round disc with a hole in the center, resembling a doughnut. Gently slide the shaped vada into the hot oil, frying 2-3 vadas at a time depending on the size of your pan. Fry the vadas until they turn golden brown and crispy on all sides, turning occasionally for even cooking. Once done, remove the vadas using a slotted spoon and drain excess oil on a paper towel. Serve hot Medu Vadas with coconut chutney or sambar.",531
Veg Kurma,https://www.shutterstock.com/image-photo/mixed-veg-curry-kurma-tasty-260nw-1907554660.jpg,"Veg Kurma is a rich and flavorful curry that explodes with taste and texture. Tender vegetables are simmered in a creamy sauce infused with warming spices, aromatics like onions and tomatoes, and a hint of fragrant fenugreek. This delightful dish is a perfect centerpiece for a vegetarian meal, ideal for scooping up with rice or naan.",Indian,Main Course,300 & 4,Veg,15 minutes,30 minutes,"2 cups mixed vegetables (carrots, beans, potatoes, peas) , 1 onion, finely chopped , 2 tomatoes, chopped , 1/2 cup coconut milk , 2 tablespoons oil , 1 teaspoon mustard seeds , 1 teaspoon cumin seeds , 1-inch ginger, minced , 3-4 garlic cloves, minced , 2 green chilies, slit , 1/2 teaspoon turmeric powder , 1 teaspoon chili powder , 1 teaspoon coriander powder , 1/2 teaspoon garam masala , Salt to taste , Fresh coriander leaves for garnish","Heat oil in a pan and add mustard seeds. Once they splutter, add cumin seeds and let them crackle. Add chopped onions and sauté until golden brown. Add minced ginger, garlic, and slit green chilies. Sauté for a minute. Add chopped tomatoes and cook until they turn soft and mushy. Add turmeric powder, chili powder, coriander powder, and garam masala. Mix well and cook for 2-3 minutes. Add mixed vegetables and mix until they are well coated with the spices. Pour coconut milk and mix everything together. Add salt to taste. Cover and cook for 15-20 minutes or until the vegetables are cooked through. Once done, garnish with fresh coriander leaves. Serve hot with rice or chapati.",532
Lemon Rice,https://www.shutterstock.com/image-photo/lemon-rice-fodnicha-bhat-south-260nw-1261227232.jpg,"Lemon Rice is a refreshingly simple South Indian dish. Fluffy cooked rice is tossed with a vibrant tempering of mustard seeds, curry leaves, and chilies. The magic touch comes with a squeeze of fresh lemon juice, creating a delightful dance of tangy and savory flavors. Often garnished with chopped coriander leaves for an extra pop of color, this light and flavorful dish is perfect for a quick lunch or a comforting side.",Indian,Main Course,200 & 4,Veg,10 minutes,20 minutes,"1 cup long-grain white rice , 2 cups water , 2 tablespoons oil (preferably sesame or vegetable oil) , 1 teaspoon mustard seeds , 1 teaspoon cumin seeds , 1/2 teaspoon turmeric powder , 1/4 cup roasted peanuts (optional) , 2 green chilies, chopped , 8-10 curry leaves , 1/4 cup chopped cilantro (coriander leaves) , Salt to taste , Juice of 1 lemon , Lemon zest (optional, for garnish)","Rinse the rice under cold water until the water runs clear. Drain well. In a medium saucepan, bring 2 cups of water to a boil. Add the rice, reduce the heat to low, cover, and simmer for 15-20 minutes or until the rice is cooked and all the water is absorbed. Fluff the rice with a fork and set aside to cool slightly. In a large skillet or frying pan, heat the oil over medium heat. Add the mustard seeds and cumin seeds and cook for 1-2 minutes until they start to splutter. Add the turmeric powder, roasted peanuts (if using), chopped green chilies, and curry leaves. Stir well and cook for another 2-3 minutes. Add the cooked rice to the skillet and toss gently to combine with the spices. Season with salt to taste and cook for an additional 2-3 minutes until everything is well heated through. Remove from heat and stir in the chopped cilantro and lemon juice. Garnish with lemon zest if desired. Serve hot as a side dish or as a light Main Course.",533
Kesari,https://www.shutterstock.com/image-photo/rava-kesari-saffron-flavoured-semolina-260nw-2138428565.jpg,"Kesari Bhath, also known as Kesari, is a vibrant sweet dish bursting with saffron's warm aroma. Semolina (sooji) is cooked in sugar syrup infused with saffron, cardamom, and ghee. The result is a melt-in-your-mouth sweet dish, often garnished with nuts and raisins for a delightful textural and visual contrast. Perfect for festivals, potlucks, or a satisfying sweet treat!",Indian,Dessert,200 & 4,Veg,10 minutes,20 minutes,"1 cup semolina (sooji/rava) , 1/2 cup ghee (clarified butter) , 1 cup sugar , 2 cups water , A pinch of saffron strands , 1/4 cup chopped nuts (almonds, cashews, pistachios) , 1/4 teaspoon ground cardamom , A few strands of saffron for garnish (optional)","Heat ghee in a heavy-bottomed pan over medium heat. Add chopped nuts and roast until golden brown. Remove and set aside. In the same pan, add semolina and roast until it turns aromatic and light golden brown. Keep stirring to prevent burning. In a separate saucepan, heat water until it boils. Add saffron strands to the boiling water and let it infuse for a few minutes. Slowly pour the saffron-infused water into the roasted semolina while stirring continuously to avoid lumps. Add sugar and ground cardamom to the mixture and continue stirring until the sugar dissolves completely. Cook the mixture on low heat until it thickens and starts leaving the sides of the pan. Keep stirring to prevent sticking. Once the kesari reaches the desired consistency, remove it from heat and garnish with roasted nuts and saffron strands. Serve hot or cold, as desired.",534
Lemon Rasam,https://www.shutterstock.com/image-photo/healthy-vegan-lentil-soup-lemon-600w-1926374291.jpg,"Lemon Rasam is a tangy and invigorating soup, perfect for a light meal or as a digestive aid. Imagine a clear broth bursting with the citrusy flavor of lemons, balanced by the warmth of cumin and the earthy depth of peppercorns. Topped with fresh coriander leaves for an extra pop of freshness, this comforting soup is a delightful way to tantalize your taste buds.",Indian,Soup,120 & 4,Veg,10 minutes,20 minutes,"1/2 cup split pigeon peas (toor dal), washed and soaked for 30 minutes , 2 tomatoes, chopped , 1 lemon, juiced , 1 teaspoon mustard seeds , 1 teaspoon cumin seeds , 1 teaspoon black peppercorns , 2-3 dried red chilies , 1 teaspoon turmeric powder , 1 teaspoon asafoetida (hing) , Few curry leaves , 2 cloves garlic, minced , Salt to taste , 2 tablespoons chopped coriander leaves for garnish , 1 tablespoon ghee or oil","Cook the soaked split pigeon peas in a pressure cooker with water until soft and mushy. Mash and set aside. In a pan, heat ghee or oil. Add mustard seeds and let them splutter. Add cumin seeds, black peppercorns, dried red chilies, and curry leaves. Saute for a minute. Add minced garlic and saute until golden brown. Add chopped tomatoes, turmeric powder, and salt. Cook until tomatoes are soft and mushy. Add the cooked split pigeon peas (toor dal) along with some water to adjust the consistency. Let the rasam simmer for 5-7 minutes until flavors blend well. Turn off the heat and add freshly squeezed lemon juice. Stir well. Garnish with chopped coriander leaves. Serve hot with steamed rice or enjoy as a soup.",535
Paniyaram,https://www.shutterstock.com/image-photo/kuzhi-paniyaram-served-tomato-chutney-260nw-1965454900.jpg,"Paniyaram, a South Indian delight, are bite-sized savory dumplings. Imagine fluffy fermented batter, traditionally made with rice and lentils, flecked with bits of onion, chilies, and sometimes fresh coconut. This flavorful batter is dolloped into a special mold with round indentations and cooked until golden brown and crispy on the outside, with a soft and fluffy center. Enjoyed with chutney or sambar, paniyaram is a delightful breakfast, snack, or even a light meal.",Indian,Appetizer/Snack,60 & 20,Veg,15 minutes,20 minutes,"1 cup raw rice , 1/4 cup urad dal (black gram lentils) , 1/4 cup poha (flattened rice) , 1/2 cup grated coconut , 1/4 cup jaggery (or to taste) , 1/4 teaspoon cardamom powder , A pinch of salt , 1 tablespoon ghee (clarified butter) , Oil for greasing the paniyaram pan","Wash and soak raw rice, urad dal, and poha together in water for 4-6 hours. Drain the water and grind the soaked ingredients into a smooth batter. The consistency should be similar to dosa batter. Transfer the batter into a bowl and add grated coconut, jaggery, cardamom powder, and a pinch of salt. Mix well. Heat the paniyaram pan and add a few drops of ghee into each mold. Pour spoonfuls of batter into each mold, filling them up to 3/4th. Cook on medium-low heat for 3-4 minutes or until the bottom turns golden brown. Flip each paniyaram using a skewer or spoon and cook the other side until golden brown. Once cooked, remove from the pan and repeat the process with the remaining batter. Serve hot with coconut chutney or sambar.",536
